통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202112,서울특별시,성북구,자폐성,심한 장애,248
202112,서울특별시,성북구,정신,심한 장애,646
202112,서울특별시,성북구,신장,심한 장애,577
202112,서울특별시,성북구,심장,심한 장애,27
202112,서울특별시,성북구,호흡기,심한 장애,81
202112,서울특별시,성북구,간,심한 장애,3
202112,서울특별시,성북구,안면,심한 장애,6
202112,서울특별시,성북구,장루.요루,심한 장애,11
202112,서울특별시,성북구,뇌전증,심한 장애,13
202112,서울특별시,성북구,지체,심하지 않은 장애,6306
202112,서울특별시,성북구,시각,심하지 않은 장애,1532
202112,서울특별시,성북구,청각,심하지 않은 장애,2106
202112,서울특별시,성북구,언어,심하지 않은 장애,81
202112,서울특별시,성북구,뇌병변,심하지 않은 장애,789
202112,서울특별시,성북구,정신,심하지 않은 장애,1
202112,서울특별시,성북구,신장,심하지 않은 장애,229
202112,서울특별시,성북구,심장,심하지 않은 장애,9
202112,서울특별시,성북구,호흡기,심하지 않은 장애,10
202112,서울특별시,성북구,간,심하지 않은 장애,125
202112,서울특별시,성북구,안면,심하지 않은 장애,12
202112,서울특별시,성북구,장루.요루,심하지 않은 장애,110
202112,서울특별시,성북구,뇌전증,심하지 않은 장애,36
202112,서울특별시,강북구,지체,심한 장애,1423
202112,서울특별시,강북구,시각,심한 장애,469
202112,서울특별시,강북구,청각,심한 장애,605
202112,서울특별시,강북구,언어,심한 장애,63
202112,서울특별시,강북구,지적,심한 장애,1218
202112,서울특별시,강북구,뇌병변,심한 장애,1011
202112,서울특별시,강북구,자폐성,심한 장애,175
202112,서울특별시,강북구,정신,심한 장애,744
202112,서울특별시,강북구,신장,심한 장애,620
202112,서울특별시,강북구,심장,심한 장애,26
202112,서울특별시,강북구,호흡기,심한 장애,93
202112,서울특별시,강북구,간,심한 장애,6
202112,서울특별시,강북구,안면,심한 장애,2
202112,서울특별시,강북구,장루.요루,심한 장애,14
202112,서울특별시,강북구,뇌전증,심한 장애,10
202112,서울특별시,강북구,지체,심하지 않은 장애,6115
202112,서울특별시,강북구,시각,심하지 않은 장애,1440
202112,서울특별시,강북구,청각,심하지 않은 장애,2175
202112,서울특별시,강북구,언어,심하지 않은 장애,78
202112,서울특별시,강북구,뇌병변,심하지 않은 장애,703
202112,서울특별시,강북구,정신,심하지 않은 장애,3
202112,서울특별시,강북구,신장,심하지 않은 장애,139
202112,서울특별시,강북구,심장,심하지 않은 장애,11
202112,서울특별시,강북구,호흡기,심하지 않은 장애,6
202112,서울특별시,강북구,간,심하지 않은 장애,79
202112,서울특별시,강북구,안면,심하지 않은 장애,4
202112,서울특별시,강북구,장루.요루,심하지 않은 장애,120
202112,서울특별시,강북구,뇌전증,심하지 않은 장애,43
202112,서울특별시,도봉구,지체,심한 장애,1132
202112,서울특별시,도봉구,시각,심한 장애,340
202112,서울특별시,도봉구,청각,심한 장애,461
202112,서울특별시,도봉구,언어,심한 장애,47
202112,서울특별시,도봉구,지적,심한 장애,1114
202112,서울특별시,도봉구,뇌병변,심한 장애,940
202112,서울특별시,도봉구,자폐성,심한 장애,192
202112,서울특별시,도봉구,정신,심한 장애,666
202112,서울특별시,도봉구,신장,심한 장애,544
202112,서울특별시,도봉구,심장,심한 장애,27
202112,서울특별시,도봉구,호흡기,심한 장애,61
202112,서울특별시,도봉구,간,심한 장애,4
202112,서울특별시,도봉구,안면,심한 장애,9
202112,서울특별시,도봉구,장루.요루,심한 장애,8
202112,서울특별시,도봉구,뇌전증,심한 장애,10
202112,서울특별시,도봉구,지체,심하지 않은 장애,5426
202112,서울특별시,도봉구,시각,심하지 않은 장애,1264
202112,서울특별시,도봉구,청각,심하지 않은 장애,1848
202112,서울특별시,도봉구,언어,심하지 않은 장애,69
202112,서울특별시,도봉구,뇌병변,심하지 않은 장애,711
202112,서울특별시,도봉구,정신,심하지 않은 장애,2
202112,서울특별시,도봉구,신장,심하지 않은 장애,170
202112,서울특별시,도봉구,심장,심하지 않은 장애,8
202112,서울특별시,도봉구,호흡기,심하지 않은 장애,5
202112,서울특별시,도봉구,간,심하지 않은 장애,89
202112,서울특별시,도봉구,안면,심하지 않은 장애,7
202112,서울특별시,도봉구,장루.요루,심하지 않은 장애,117
202112,서울특별시,도봉구,뇌전증,심하지 않은 장애,29
202112,서울특별시,노원구,지체,심한 장애,2860
202112,서울특별시,노원구,시각,심한 장애,710
202112,서울특별시,노원구,청각,심한 장애,928
202112,서울특별시,노원구,언어,심한 장애,133
202112,서울특별시,노원구,지적,심한 장애,2315
202112,서울특별시,노원구,뇌병변,심한 장애,1854
202112,서울특별시,노원구,자폐성,심한 장애,399
202112,서울특별시,노원구,정신,심한 장애,1473
202112,서울특별시,노원구,신장,심한 장애,879
202112,서울특별시,노원구,심장,심한 장애,77
202112,서울특별시,노원구,호흡기,심한 장애,153
202112,서울특별시,노원구,간,심한 장애,8
202112,서울특별시,노원구,안면,심한 장애,20
202112,서울특별시,노원구,장루.요루,심한 장애,22
202112,서울특별시,노원구,뇌전증,심한 장애,25
202112,서울특별시,노원구,지체,심하지 않은 장애,8566
202112,서울특별시,노원구,시각,심하지 않은 장애,2015
202112,서울특별시,노원구,청각,심하지 않은 장애,2743
202112,서울특별시,노원구,언어,심하지 않은 장애,118
202112,서울특별시,노원구,뇌병변,심하지 않은 장애,966
202112,서울특별시,노원구,정신,심하지 않은 장애,4
202112,서울특별시,노원구,신장,심하지 않은 장애,265
202112,서울특별시,노원구,심장,심하지 않은 장애,13
202112,서울특별시,노원구,호흡기,심하지 않은 장애,2
202112,서울특별시,노원구,간,심하지 않은 장애,108
202112,서울특별시,노원구,안면,심하지 않은 장애,14
202112,서울특별시,노원구,장루.요루,심하지 않은 장애,154
202112,서울특별시,노원구,뇌전증,심하지 않은 장애,80
202112,서울특별시,은평구,지체,심한 장애,1454
202112,서울특별시,은평구,시각,심한 장애,432
202112,서울특별시,은평구,청각,심한 장애,722
202112,서울특별시,은평구,언어,심한 장애,92
202112,서울특별시,은평구,지적,심한 장애,1826
202112,서울특별시,은평구,뇌병변,심한 장애,1338
202112,서울특별시,은평구,자폐성,심한 장애,366
202112,서울특별시,은평구,정신,심한 장애,1164
202112,서울특별시,은평구,신장,심한 장애,706
202112,서울특별시,은평구,심장,심한 장애,47
202112,서울특별시,은평구,호흡기,심한 장애,123
202112,서울특별시,은평구,간,심한 장애,11
202112,서울특별시,은평구,안면,심한 장애,10
202112,서울특별시,은평구,장루.요루,심한 장애,25
202112,서울특별시,은평구,뇌전증,심한 장애,11
202112,서울특별시,은평구,지체,심하지 않은 장애,7430
202112,서울특별시,은평구,시각,심하지 않은 장애,1857
202112,서울특별시,은평구,청각,심하지 않은 장애,2583
202112,서울특별시,은평구,언어,심하지 않은 장애,91
202112,서울특별시,은평구,뇌병변,심하지 않은 장애,887
202112,서울특별시,은평구,정신,심하지 않은 장애,3
202112,서울특별시,은평구,신장,심하지 않은 장애,168
202112,서울특별시,은평구,심장,심하지 않은 장애,10
202112,서울특별시,은평구,호흡기,심하지 않은 장애,3
202112,서울특별시,은평구,간,심하지 않은 장애,157
202112,서울특별시,은평구,안면,심하지 않은 장애,13
202112,서울특별시,은평구,장루.요루,심하지 않은 장애,169
202112,서울특별시,은평구,뇌전증,심하지 않은 장애,58
202112,서울특별시,서대문구,지체,심한 장애,896
202112,서울특별시,서대문구,시각,심한 장애,248
202112,서울특별시,서대문구,청각,심한 장애,388
202112,서울특별시,서대문구,언어,심한 장애,56
202112,서울특별시,서대문구,지적,심한 장애,796
202112,서울특별시,서대문구,뇌병변,심한 장애,768
202112,서울특별시,서대문구,자폐성,심한 장애,183
202112,서울특별시,서대문구,정신,심한 장애,516
202112,서울특별시,서대문구,신장,심한 장애,481
202112,서울특별시,서대문구,심장,심한 장애,22
202112,서울특별시,서대문구,호흡기,심한 장애,44
202112,서울특별시,서대문구,간,심한 장애,3
202112,서울특별시,서대문구,안면,심한 장애,3
202112,서울특별시,서대문구,장루.요루,심한 장애,17
202112,서울특별시,서대문구,뇌전증,심한 장애,11
202112,서울특별시,서대문구,지체,심하지 않은 장애,4376
202112,서울특별시,서대문구,시각,심하지 않은 장애,1036
202112,서울특별시,서대문구,청각,심하지 않은 장애,1471
202112,서울특별시,서대문구,언어,심하지 않은 장애,54
202112,서울특별시,서대문구,뇌병변,심하지 않은 장애,575
202112,서울특별시,서대문구,정신,심하지 않은 장애,1
202112,서울특별시,서대문구,신장,심하지 않은 장애,143
202112,서울특별시,서대문구,심장,심하지 않은 장애,5
202112,서울특별시,서대문구,호흡기,심하지 않은 장애,2
202112,서울특별시,서대문구,간,심하지 않은 장애,96
202112,서울특별시,서대문구,안면,심하지 않은 장애,5
202112,서울특별시,서대문구,장루.요루,심하지 않은 장애,97
202112,서울특별시,서대문구,뇌전증,심하지 않은 장애,18
202112,서울특별시,마포구,지체,심한 장애,1061
202112,서울특별시,마포구,시각,심한 장애,343
202112,서울특별시,마포구,청각,심한 장애,458
202112,서울특별시,마포구,언어,심한 장애,59
202112,서울특별시,마포구,지적,심한 장애,849
202112,서울특별시,마포구,뇌병변,심한 장애,824
202112,서울특별시,마포구,자폐성,심한 장애,224
202112,서울특별시,마포구,정신,심한 장애,512
202112,서울특별시,마포구,신장,심한 장애,472
202112,서울특별시,마포구,심장,심한 장애,23
202112,서울특별시,마포구,호흡기,심한 장애,48
202112,서울특별시,마포구,간,심한 장애,6
202112,서울특별시,마포구,안면,심한 장애,5
202112,서울특별시,마포구,장루.요루,심한 장애,24
202112,서울특별시,마포구,뇌전증,심한 장애,13
202112,서울특별시,마포구,지체,심하지 않은 장애,4387
202112,서울특별시,마포구,시각,심하지 않은 장애,1137
202112,서울특별시,마포구,청각,심하지 않은 장애,1498
202112,서울특별시,마포구,언어,심하지 않은 장애,62
202112,서울특별시,마포구,뇌병변,심하지 않은 장애,539
202112,서울특별시,마포구,정신,심하지 않은 장애,1
202112,서울특별시,마포구,신장,심하지 않은 장애,174
202112,서울특별시,마포구,심장,심하지 않은 장애,9
202112,서울특별시,마포구,호흡기,심하지 않은 장애,5
202112,서울특별시,마포구,간,심하지 않은 장애,82
202112,서울특별시,마포구,안면,심하지 않은 장애,7
202112,서울특별시,마포구,장루.요루,심하지 않은 장애,99
202112,서울특별시,마포구,뇌전증,심하지 않은 장애,24
202112,서울특별시,양천구,지체,심한 장애,1401
202112,서울특별시,양천구,시각,심한 장애,311
202112,서울특별시,양천구,청각,심한 장애,662
202112,서울특별시,양천구,언어,심한 장애,75
202112,서울특별시,양천구,지적,심한 장애,1188
202112,서울특별시,양천구,뇌병변,심한 장애,1030
202112,서울특별시,양천구,자폐성,심한 장애,322
202112,서울특별시,양천구,정신,심한 장애,623
202112,서울특별시,양천구,신장,심한 장애,552
202112,서울특별시,양천구,심장,심한 장애,37
202112,서울특별시,양천구,호흡기,심한 장애,90
202112,서울특별시,양천구,간,심한 장애,7
202112,서울특별시,양천구,안면,심한 장애,10
202112,서울특별시,양천구,장루.요루,심한 장애,10
202112,서울특별시,양천구,뇌전증,심한 장애,9
202112,서울특별시,양천구,지체,심하지 않은 장애,6221
202112,서울특별시,양천구,시각,심하지 않은 장애,1392
202112,서울특별시,양천구,청각,심하지 않은 장애,2267
202112,서울특별시,양천구,언어,심하지 않은 장애,72
202112,서울특별시,양천구,뇌병변,심하지 않은 장애,739
202112,서울특별시,양천구,정신,심하지 않은 장애,1
202112,서울특별시,양천구,신장,심하지 않은 장애,195
202112,서울특별시,양천구,심장,심하지 않은 장애,21
202112,서울특별시,양천구,호흡기,심하지 않은 장애,5
202112,서울특별시,양천구,간,심하지 않은 장애,133
202112,서울특별시,양천구,안면,심하지 않은 장애,5
202112,서울특별시,양천구,장루.요루,심하지 않은 장애,111
202112,서울특별시,양천구,뇌전증,심하지 않은 장애,36
202112,서울특별시,강서구,지체,심한 장애,2919
202112,서울특별시,강서구,시각,심한 장애,713
202112,서울특별시,강서구,청각,심한 장애,1114
202112,서울특별시,강서구,언어,심한 장애,112
202112,서울특별시,강서구,지적,심한 장애,2036
202112,서울특별시,강서구,뇌병변,심한 장애,1811
202112,서울특별시,강서구,자폐성,심한 장애,401
202112,서울특별시,강서구,정신,심한 장애,1612
202112,서울특별시,강서구,신장,심한 장애,1031
202112,서울특별시,강서구,심장,심한 장애,49
202112,서울특별시,강서구,호흡기,심한 장애,170
202112,서울특별시,강서구,간,심한 장애,13
202112,서울특별시,강서구,안면,심한 장애,14
202112,서울특별시,강서구,장루.요루,심한 장애,17
202112,서울특별시,강서구,뇌전증,심한 장애,38
202112,서울특별시,강서구,지체,심하지 않은 장애,9002
202112,서울특별시,강서구,시각,심하지 않은 장애,2114
202112,서울특별시,강서구,청각,심하지 않은 장애,3446
202112,서울특별시,강서구,언어,심하지 않은 장애,140
202112,서울특별시,강서구,뇌병변,심하지 않은 장애,1046
202112,서울특별시,강서구,정신,심하지 않은 장애,2
202112,서울특별시,강서구,신장,심하지 않은 장애,316
202112,서울특별시,강서구,심장,심하지 않은 장애,10
202112,서울특별시,강서구,호흡기,심하지 않은 장애,8
202112,서울특별시,강서구,간,심하지 않은 장애,143
202112,서울특별시,강서구,안면,심하지 않은 장애,16
202112,서울특별시,강서구,장루.요루,심하지 않은 장애,164
202112,서울특별시,강서구,뇌전증,심하지 않은 장애,89
202112,서울특별시,구로구,지체,심한 장애,1377
202112,서울특별시,구로구,시각,심한 장애,401
202112,서울특별시,구로구,청각,심한 장애,679
202112,서울특별시,구로구,언어,심한 장애,79
202112,서울특별시,구로구,지적,심한 장애,1244
202112,서울특별시,구로구,뇌병변,심한 장애,1025
202112,서울특별시,구로구,자폐성,심한 장애,308
202112,서울특별시,구로구,정신,심한 장애,649
202112,서울특별시,구로구,신장,심한 장애,634
202112,서울특별시,구로구,심장,심한 장애,43
202112,서울특별시,구로구,호흡기,심한 장애,101
202112,서울특별시,구로구,간,심한 장애,4
202112,서울특별시,구로구,안면,심한 장애,12
202112,서울특별시,구로구,장루.요루,심한 장애,10
202112,서울특별시,구로구,뇌전증,심한 장애,12
202112,서울특별시,구로구,지체,심하지 않은 장애,6622
202112,서울특별시,구로구,시각,심하지 않은 장애,1473
202112,서울특별시,구로구,청각,심하지 않은 장애,2463
202112,서울특별시,구로구,언어,심하지 않은 장애,75
202112,서울특별시,구로구,뇌병변,심하지 않은 장애,714
202112,서울특별시,구로구,정신,심하지 않은 장애,2
202112,서울특별시,구로구,신장,심하지 않은 장애,156
202112,서울특별시,구로구,심장,심하지 않은 장애,12
202112,서울특별시,구로구,호흡기,심하지 않은 장애,5
202112,서울특별시,구로구,간,심하지 않은 장애,98
202112,서울특별시,구로구,안면,심하지 않은 장애,14
202112,서울특별시,구로구,장루.요루,심하지 않은 장애,124
202112,서울특별시,구로구,뇌전증,심하지 않은 장애,38
202112,서울특별시,금천구,지체,심한 장애,922
202112,서울특별시,금천구,시각,심한 장애,203
202112,서울특별시,금천구,청각,심한 장애,439
202112,서울특별시,금천구,언어,심한 장애,45
202112,서울특별시,금천구,지적,심한 장애,785
202112,서울특별시,금천구,뇌병변,심한 장애,600
202112,서울특별시,금천구,자폐성,심한 장애,136
202112,서울특별시,금천구,정신,심한 장애,433
202112,서울특별시,금천구,신장,심한 장애,390
202112,서울특별시,금천구,심장,심한 장애,32
202112,서울특별시,금천구,호흡기,심한 장애,55
202112,서울특별시,금천구,안면,심한 장애,11
202112,서울특별시,금천구,장루.요루,심한 장애,9
202112,서울특별시,금천구,뇌전증,심한 장애,15
202112,서울특별시,금천구,지체,심하지 않은 장애,4118
202112,서울특별시,금천구,시각,심하지 않은 장애,965
202112,서울특별시,금천구,청각,심하지 않은 장애,1495
202112,서울특별시,금천구,언어,심하지 않은 장애,49
202112,서울특별시,금천구,뇌병변,심하지 않은 장애,492
202112,서울특별시,금천구,신장,심하지 않은 장애,92
202112,서울특별시,금천구,심장,심하지 않은 장애,5
202112,서울특별시,금천구,호흡기,심하지 않은 장애,3
202112,서울특별시,금천구,간,심하지 않은 장애,48
202112,서울특별시,금천구,안면,심하지 않은 장애,6
202112,서울특별시,금천구,장루.요루,심하지 않은 장애,82
202112,서울특별시,금천구,뇌전증,심하지 않은 장애,28
202112,서울특별시,영등포구,지체,심한 장애,1101
202112,서울특별시,영등포구,시각,심한 장애,283
202112,서울특별시,영등포구,청각,심한 장애,451
202112,서울특별시,영등포구,언어,심한 장애,64
202112,서울특별시,영등포구,지적,심한 장애,871
202112,서울특별시,영등포구,뇌병변,심한 장애,783
202112,서울특별시,영등포구,자폐성,심한 장애,221
202112,서울특별시,영등포구,정신,심한 장애,473
202112,서울특별시,영등포구,신장,심한 장애,536
202112,서울특별시,영등포구,심장,심한 장애,27
202112,서울특별시,영등포구,호흡기,심한 장애,56
202112,서울특별시,영등포구,간,심한 장애,5
202112,서울특별시,영등포구,안면,심한 장애,8
202112,서울특별시,영등포구,장루.요루,심한 장애,7
202112,서울특별시,영등포구,뇌전증,심한 장애,7
202112,서울특별시,영등포구,지체,심하지 않은 장애,5218
202112,서울특별시,영등포구,시각,심하지 않은 장애,1268
202112,서울특별시,영등포구,청각,심하지 않은 장애,2014
